,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloVelDisp,SubhaloHalfmassRad,SubhaloMassInHalfRad,SubhaloVmax,SubhaloStellarPhotometrics,SubhaloBHMass,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhaloMassInHalfRadGas,SubhaloMassInHalfRadDM,SubhaloMassInHalfRadNone,SubhaloMassInHalfRadTracers,SubhaloMassInHalfRadStellar,SubhaloMassInHalfRadBH,SubhalosSFR,SubhaloGasFraction
199321,4371211,37247536621093.75,True,11961317,0.008834809,[  96.995705  -97.0043   -280.21457 ],316.73383,251.98921,1033058547973.6328,573.1743,"[-22.234203 -22.669603 -23.550873 -26.502884 -23.130787 -23.89673
 -24.261257 -24.520906]",2631997764.110565,4797748413085.9375,31908999023437.5,0.0,0.0,538156127929.6875,2633368074.8939514,4886904954.910278,756460494995.1172,0.0,0.0,269077777862.54883,0.2633368,1.6416814017993345e-05,0.0181616817030748
200803,4371211,32113413085937.5,True,10055754,3.7382064,[-14.370866 -67.7852    84.52836 ],342.21353,243.63303,498023071289.0625,535.3413,"[-22.048811 -22.234402 -22.996931 -25.819778 -22.645067 -23.313213
 -23.646477 -23.884163]",1335172802.2098541,4115193786621.0938,27727746582031.25,0.0,0.0,269136257171.63086,1335571855.3066254,2980048060.4171753,359139747619.6289,0.0,0.0,134567699432.37305,0.13355719,0.013889642465311802,0.0221453444845046
202634,4371211,34619206542968.75,True,10583157,0.08463036,[-225.83488    37.028072  116.559395],310.4149,269.8603,585202178955.0781,526.6843,"[-21.892054 -22.279558 -23.127913 -26.015518 -22.727503 -23.464039
 -23.815598 -24.06278 ]",1325677335.2622986,4051362609863.2812,30232089843750.0,0.0,0.0,334428749084.47266,1325677335.2622986,2309128195.0473785,414353523254.39453,0.0,0.0,167213859558.10547,0.13256773,0.00025305947207343257,0.013809430636609252
204234,4371211,34800688476562.5,True,10660924,1.7091057,[-109.268555  102.110504 -216.1045  ],298.29544,275.5127,586556358337.4023,527.7843,"[-21.945986 -22.296211 -23.130783 -26.04291  -22.737385 -23.465036
 -23.817724 -24.070213]",1644935309.8869324,4103003234863.2812,30355944824218.75,0.0,0.0,340093498229.98047,1646288037.3001099,2375743389.1296387,412487945556.6406,0.0,0.0,170046367645.26367,0.1646288,0.005025399600262334,0.013971150469298546
206226,4371211,35526208496093.75,True,11396258,0.060174186,[-281.09705   -24.88371     6.275364],320.9731,233.90033,1191258621215.8203,572.7992,"[-22.53785  -22.982557 -23.864038 -26.834078 -23.444132 -24.209213
 -24.573408 -24.835997]",2205560505.390167,4244329223632.8125,30604677734375.0,0.0,0.0,674997177124.0234,2206042706.9664,3920018076.8966675,847635726928.7109,0.0,0.0,337498092651.3672,0.22047606,8.914731471775418e-05,0.011614934016667213
207473,4371211,33315307617187.5,True,10779399,5.483074,[ -13.521664 -225.99098   -69.83744 ],309.13596,233.26575,473998298645.01953,570.08264,"[-22.516697 -22.756207 -23.522005 -26.382462 -23.169477 -23.837143
 -24.169119 -24.413572]",1975413560.8673096,4497744750976.5625,28387106933593.75,0.0,0.0,428480262756.34766,1975511610.507965,4890708923.339844,252893314361.57227,0.0,0.0,214239807128.90625,0.19744502,0.012796561860190826,0.02282819887154373
208781,4371211,13968786621093.75,True,3923020,5.288108,[-630.83307  465.06152 -229.3186 ],227.11874,212.21478,389398651123.0469,388.50027,"[-22.069098 -22.3012   -23.08572  -25.995285 -22.720694 -23.408756
 -23.752825 -24.005966]",1035857051.6109467,940578460693.3594,12726973876953.125,0.0,0.0,300198364257.8125,1036206260.3235245,4203878939.151764,234060668945.3125,0.0,0.0,150099048614.50195,0.1035057,0.01761537870162348,0.028007365655917972
210763,4371211,11463328857421.875,True,3328139,0.08509709,[ 209.69154 -240.15863  287.48306],185.9223,300.94934,215756053924.56055,334.19147,"[-20.857004 -21.244589 -22.090263 -24.971487 -21.691967 -22.424248
 -22.772017 -23.018297]",256823338.5682106,1118473281860.3516,10227176513671.875,0.0,0.0,117422370910.64453,256823338.5682106,960747972.1307755,155828113555.9082,0.0,0.0,58710365295.41016,0.025682334,0.0007247093441383919,0.016364196804033247
212836,4371211,31607734375000.0,True,9540775,3.5830693,[-88.23066 -77.04024 215.0671 ],298.06906,294.67706,570016708374.0234,486.96152,"[-22.388374 -22.692982 -23.498274 -26.408108 -23.121655 -23.82557
 -24.172844 -24.425453]",1439770460.1287842,3293025207519.5312,27857087402343.75,0.0,0.0,456180343627.9297,1439770460.1287842,1256530731.9164276,339230232238.76953,0.0,0.0,228090152740.47852,0.14397705,0.007854501787599676,0.005508921436630853
214452,4371211,29523283691406.25,True,9043238,5.012979,[-165.53055    -9.911704 -137.05377 ],291.18613,281.10904,535150794982.91016,480.96716,"[-22.219732 -22.47484  -23.258156 -26.128397 -22.894503 -23.579477
 -23.919407 -24.1655  ]",1403043270.111084,3362077941894.5312,25807175292968.75,0.0,0.0,352626304626.46484,1403043270.111084,5398480296.134949,352036437988.28125,0.0,0.0,176312847137.45117,0.14030433,0.01421612331479171,0.0306187574177528
