,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
548801,4371211,41.031693,True,124979,2.8854022,[-111.2472   253.50122  232.23145],3.32536,36.256756,0.0,0.0,1.4419277,0.007648693,0.20010728836059571
548808,4371211,38.996246,True,117028,0.8244673,[ 275.8843  -184.79172  122.38537],3.990857,34.269344,0.0,0.0,0.7340099,0.0020357908,0.11232372522354127
548836,4371211,34.38923,True,110078,2.7452772,[-359.51376  146.9499  -251.65051],3.651207,29.644854,0.0,0.0,1.0897381,0.0034283581,0.25192081928253174
548855,4371211,41.502007,True,126633,2.0645645,[142.26672     3.4584491  50.807587 ],3.690874,36.599533,0.0,0.0,1.2087263,0.002873123,0.17080496549606325
548864,4371211,40.891815,True,123067,1.9142895,[-154.66202  114.98188  277.78778],3.4513044,36.338154,0.0,0.0,1.0957241,0.006632715,0.17470542192459107
548883,4371211,16.096956,True,52041,1.1258518,[ 198.79793    23.939053 -234.81767 ],2.1421,13.58377,0.0,0.0,0.36990288,0.0011828397,0.30436415672302247
548971,4371211,42.081238,True,123465,2.371577,[-67.47741 -56.53799 342.06644],3.2863195,37.676407,0.0,0.0,1.1110564,0.007455676,0.21345243453979493
548993,4371211,41.84421,True,119901,1.650943,[-262.37518    26.413218  -54.709713],2.3499553,38.032333,0.0,0.0,1.4548635,0.007059634,0.11347751617431641
549006,4371211,34.4078,True,104884,1.5904917,[ 346.5945  -215.4545   205.31842],3.416216,30.097343,0.0,0.0,0.8906839,0.0035566743,0.1785697102546692
549041,4371211,34.680824,True,111311,0.9821917,[-95.31921 135.99086  77.69543],4.653752,29.551828,0.0,0.0,0.47333544,0.0019086589,0.20750436782836915
549066,4371211,40.896072,True,123786,2.1841412,[ 152.41008 -200.65504   86.60381],3.7352614,36.11115,0.0,0.0,1.0449395,0.004722828,0.20902082920074463
549085,4371211,38.362976,True,100760,1.8853494,[-143.54778   65.86936 -326.96582],2.1395004,35.540356,0.0,0.0,0.68072057,0.002399511,0.27696378231048585
549108,4371211,36.97048,True,111531,2.550563,[-156.13667 -304.74673  197.25293],3.4504747,32.529156,0.0,0.0,0.98961395,0.0012362202,0.2577331304550171
549215,4371211,36.79229,True,111957,0.97479844,[-92.38589  177.13364  -27.542524],3.2422926,32.608025,0.0,0.0,0.93841285,0.0035573014,0.1038773536682129
549236,4371211,38.52972,True,122303,0.8193662,[187.83136 285.24356 495.39288],5.0521407,32.9958,0.0,0.0,0.47968546,0.0020925826,0.17081322669982912
549262,4371211,40.516567,True,115376,1.3906537,[-26.531296 118.58537  -50.160194],2.974808,36.639473,0.0,0.0,0.9001365,0.0021484105,0.1544936537742615
549281,4371211,35.479168,True,108334,0.36295855,[-11.590005  11.135415 241.52808 ],4.056867,30.893623,0.0,0.0,0.526961,0.0017172402,0.06887768507003784
549311,4371211,41.598186,True,116368,1.3948162,[ -21.518156   46.000874 -524.64966 ],2.9688854,37.70017,0.0,0.0,0.9255941,0.0035389245,0.15069415569305422
549340,4371211,37.0349,True,122198,2.791393,[297.68304  605.10345  -44.959015],4.743968,31.273815,0.0,0.0,1.0131764,0.0039403513,0.27550907135009767
549349,4371211,40.645733,True,124449,1.0963652,[-83.74933 -13.62748 316.43414],3.6031048,35.877575,0.0,0.0,1.1585025,0.0065504126,0.0946364164352417
549388,4371211,40.450077,True,126027,1.2180371,[-75.09428  -79.34722   -8.012185],3.8658543,35.23853,0.0,0.0,1.342701,0.0029937995,0.09071544408798218
549407,4371211,37.03976,True,106783,0.79516745,[265.91223   46.031776 179.21332 ],2.561933,33.446774,0.0,0.0,1.0287851,0.002267917,0.07729188799858094
549424,4371211,44.28864,True,126086,0.73993206,[-105.41612  184.09433 -364.05325],2.519883,40.332188,0.0,0.0,1.429214,0.007352676,0.0517719566822052
