,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
581566,4371211,23.885263,True,72352,0.74737316,2.4719632,21.006107,0.0,0.0,0.40554765,0.0016469343
581581,4371211,25.437078,True,75231,0.7446301,2.566735,22.442444,0.0,0.0,0.4261913,0.0017084376
581595,4371211,26.536526,True,77848,0.7436213,2.1264346,23.788788,0.0,0.0,0.615643,0.0056615947
581603,4371211,26.713823,True,78006,1.1428033,2.6379905,23.662899,0.0,0.0,0.41130903,0.0016246042
581614,4371211,25.006456,True,75803,0.22782534,2.7422566,21.879232,0.0,0.0,0.3839431,0.0010232232
581627,4371211,26.50904,True,77230,0.5609869,2.6255095,23.58858,0.0,0.0,0.29394504,0.0010057102
581634,4371211,26.343626,True,77329,1.1588606,2.0154183,23.641665,0.0,0.0,0.6834628,0.0030796626
581645,4371211,24.247566,True,71843,1.7102846,2.7532244,21.232603,0.0,0.0,0.26081696,0.0009202835
581661,4371211,23.159525,True,66266,0.43194333,2.2176318,20.73613,0.0,0.0,0.20528616,0.0004768787
581674,4371211,24.619862,True,76487,0.67005223,3.2079034,21.112278,0.0,0.0,0.29913074,0.0005508819
581699,4371211,25.41948,True,75661,0.9994408,2.245301,22.527885,0.0,0.0,0.644213,0.0020796985
581712,4371211,27.039244,True,77326,1.621623,2.2243164,24.398005,0.0,0.0,0.41503084,0.0018925527
581724,4371211,24.661535,True,71794,0.43099028,2.1359267,22.043545,0.0,0.0,0.48016423,0.0018990012
581742,4371211,26.019354,True,72402,0.39545473,2.012927,23.555717,0.0,0.0,0.44846764,0.0022408057
581762,4371211,24.709435,True,74547,0.70635563,2.4121993,21.800364,0.0,0.0,0.4946227,0.0022483203
581780,4371211,24.642235,True,72883,0.34874153,2.644815,21.799353,0.0,0.0,0.19709781,0.0009700792
581802,4371211,17.938625,True,52460,0.23876248,1.9430546,15.864922,0.0,0.0,0.13047081,0.00017952826
581821,4371211,27.401255,True,78064,0.5009833,2.2228842,24.66242,0.0,0.0,0.51421076,0.0017402343
