,Unnamed: 0,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
592,411783,4371211,224.31381000000002,True,583478,0.00459968,9.333378999999999,210.03326,0.0,0.0,4.9238358,0.023337017999999998,9.341660012301792e-05
595,412199,4371211,297.79126,True,750546,0.0,8.310654,282.40823,0.0,0.0,7.0503497,0.02201347,0.0
598,412591,4371211,210.27826000000002,True,530721,0.0,7.484628,198.7544,0.0,0.0,4.015036,0.024200542000000002,0.0
599,412743,4371211,279.01937999999996,True,675255,0.059916563,10.4145775,265.60345,0.0,0.0,2.9813788,0.01995175,0.0020096930655037863
600,412911,4371211,148.91806,True,346535,0.0,3.681547,143.50069,0.0,0.0,1.7208894000000001,0.014927518999999998,0.0
601,413091,4371211,251.09232000000003,True,702838,0.023199803999999997,9.098218,232.2315,0.0,0.0,9.7464,0.016183078,0.00023803459738980546
602,413194,4371211,189.40585,True,502717,0.0010484328999999998,5.9605746,177.41968,0.0,0.0,6.009023,0.016584758,1.7447643319055356e-05
604,413463,4371211,192.65778,True,451553,0.0,4.5060997,185.58571,0.0,0.0,2.5486338,0.017330065,0.0
605,413608,4371211,262.9821,True,715143,0.38958758,11.904382,243.52147999999997,0.0,0.0,7.525078,0.031134897999999998,0.005177189924144308
606,413747,4371211,208.8665,True,578858,0.0,14.232442,190.84065,0.0,0.0,3.7799845000000003,0.013434373999999999,0.0
607,413928,4371211,219.16858,True,580740,0.006524286999999999,7.6281295,204.84505,0.0,0.0,6.670683,0.024708621,9.78053821475252e-05
608,414050,4371211,272.43692000000004,True,725922,0.004552833,7.082105599999999,255.67498999999998,0.0,0.0,9.650425,0.029393142,4.717753881305746e-05
609,414146,4371211,256.42523,True,650335,0.0,9.454288,242.06492999999998,0.0,0.0,4.8765917000000005,0.029413432000000003,0.0
611,414447,4371211,251.16523999999998,True,679447,0.06678255,11.610028999999999,232.8023,0.0,0.0,6.730243700000001,0.022663034,0.000992275361440478
612,414549,4371211,265.78638,True,722554,0.0,9.731121,247.28296,0.0,0.0,8.746444,0.025839867000000002,0.0
613,414651,4371211,267.86987,True,702922,0.6201286,13.136339000000001,249.25217,0.0,0.0,5.4518247,0.029540808999999998,0.011374698089613923
614,414759,4371211,171.14127,True,456504,0.35945225,7.549244,159.11231999999998,0.0,0.0,4.4672527,0.012449652,0.008046382735411408
615,414990,4371211,156.47812,True,455219,0.0736393,13.162623000000002,140.14772,0.0,0.0,3.1542168,0.013560147,0.002334630263842359
616,415113,4371211,246.84415,True,658848,0.011914392,10.012333,229.96097000000003,0.0,0.0,6.846206,0.024628071,0.00017402911919390098
617,415211,4371211,246.46706,True,631538,0.012273601,9.490464,231.9767,0.0,0.0,4.978041999999999,0.021858667999999998,0.0002465547900158336
618,415373,4371211,267.0406,True,702042,0.016139725,8.869342999999999,250.49083,0.0,0.0,7.64688,0.033547256,0.00021106287793191473
621,415823,4371211,240.29782000000003,True,630315,0.000705533,11.344904,224.17872999999997,0.0,0.0,4.7503133,0.023882877,1.4852346686270145e-05
623,416112,4371211,243.39081000000002,True,622909,0.010361688,6.3228406999999995,230.31842000000003,0.0,0.0,6.7210584,0.02849735,0.0001541675043323534
624,416258,4371211,253.32117999999997,True,654188,0.012830264,15.241387,235.79126000000002,0.0,0.0,2.2659388,0.022603601,0.000566222882983424
627,416627,4371211,165.032,True,445617,0.08611847,7.262399,152.99841,0.0,0.0,4.7541833,0.016999358,0.0018114251084933978
628,416752,4371211,213.72914,True,589235,0.006250770300000001,8.412969,198.08704,0.0,0.0,7.209646,0.019487845,8.670010011587256e-05
630,417032,4371211,238.54492000000002,True,649233,0.0,7.0027,222.49466,0.0,0.0,9.018784,0.028780134,0.0
631,417122,4371211,134.70653000000001,True,364370,0.0,6.040331,124.91376000000001,0.0,0.0,3.739647,0.012789746000000001,0.0
633,417411,4371211,264.5969,True,661715,0.029003575,7.695626299999999,251.19206,0.0,0.0,5.686237,0.022973603,0.0005100662353679595
634,417581,4371211,245.91336,True,659132,0.26949352,10.649675,228.59592,0.0,0.0,6.646109599999999,0.021644747000000002,0.004054906347015403
636,417793,4371211,262.63388,True,671069,0.0005095603400000001,10.110417,247.43312000000003,0.0,0.0,5.067155400000001,0.02317955,1.0056141952938724e-05
637,417939,4371211,184.75444,True,459704,0.0,4.640289,175.91306,0.0,0.0,4.1844673,0.016619798,0.0
639,418230,4371211,185.62155,True,490973,0.018874612,3.6583085,174.87056,0.0,0.0,7.0817595,0.010924793,0.00026652432915859396
640,418325,4371211,258.779,True,662571,0.0,7.8007526,244.53214,0.0,0.0,6.427689,0.018406791999999998,0.0
641,418452,4371211,264.63833999999997,True,630959,0.0,5.732529,254.3696,0.0,0.0,4.5149593,0.021265952,0.0
642,418576,4371211,206.79187,True,494634,0.0,4.95948,198.33629,0.0,0.0,3.473932,0.022168487,0.0
643,418770,4371211,248.46387000000001,True,646374,0.0,8.971119999999999,233.33012000000002,0.0,0.0,6.138879,0.023751737999999998,0.0
