,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
702103,4371211,4.5980344,True,9565,0.0,4.5597744,0.0,0.0,0.038126826,0.00013319589
702110,4371211,5.5147357,True,13806,0.34270024,5.153319,0.0,0.0,0.018628074,8.866387e-05
702113,4371211,5.392654,True,14256,0.38353476,4.967773,0.0,0.0,0.04124248,0.000103809296
702115,4371211,4.99771,True,13962,0.5185556,4.462704,0.0,0.0,0.016324783,0.00012566568
702119,4371211,5.412491,True,14152,0.41848463,4.9788957,0.0,0.0,0.01501967,9.1092064e-05
702123,4371211,5.2319336,True,14042,0.4177253,4.782733,0.0,0.0,0.03132986,0.00014538213
702133,4371211,5.270928,True,13900,0.40052262,4.8474464,0.0,0.0,0.022845339,0.00011353289
702139,4371211,5.261673,True,12735,0.29269224,4.9521003,0.0,0.0,0.016777812,0.000102843944
702161,4371211,5.2362876,True,14175,0.47479647,4.7422867,0.0,0.0,0.019032117,0.00017191867
702162,4371211,5.1359262,True,13638,0.41288033,4.708919,0.0,0.0,0.013993026,0.00013381458
702165,4371211,5.7151995,True,14141,0.32217255,5.375266,0.0,0.0,0.017633028,0.00012786726
702179,4371211,5.3610272,True,14019,0.42853108,4.9182267,0.0,0.0,0.014179033,9.054466e-05
702182,4371211,5.007232,True,13878,0.4903002,4.4965777,0.0,0.0,0.02023686,0.000117319476
702184,4371211,5.3089466,True,13882,0.39810824,4.891937,0.0,0.0,0.018756099,0.00014555876
702189,4371211,4.582887,True,13473,0.5561753,4.008193,0.0,0.0,0.018393304,0.00012552958
702193,4371211,5.314416,True,14050,0.4389363,4.8626137,0.0,0.0,0.01269168,0.00017435814
702197,4371211,4.991688,True,14085,0.534503,4.44602,0.0,0.0,0.011073512,9.0669804e-05
702210,4371211,5.1581917,True,14089,0.47455913,4.6603837,0.0,0.0,0.023156647,9.198951e-05
702216,4371211,3.9070275,True,12589,0.5941944,3.2842107,0.0,0.0,0.02862247,0.0
702220,4371211,4.5329204,True,12114,0.38852626,4.1335754,0.0,0.0,0.010666065,0.0001526303
702225,4371211,4.2798176,True,12467,0.5097575,3.7543948,0.0,0.0,0.015567295,9.817982e-05
702229,4371211,4.19339,True,10178,0.23017468,3.9480298,0.0,0.0,0.015095717,8.989854e-05
702235,4371211,4.1915708,True,11650,0.41849008,3.740744,0.0,0.0,0.0322065,0.00012981344
702249,4371211,5.6435018,True,14285,0.35001,5.2706122,0.0,0.0,0.022765575,0.00011409449
702252,4371211,4.9989147,True,13456,0.40925565,4.5633135,0.0,0.0,0.026254969,9.0265676e-05
702255,4371211,5.029074,True,12956,0.36439028,4.6528,0.0,0.0,0.011796732,8.6821245e-05
702260,4371211,5.6084304,True,14105,0.36126164,5.232188,0.0,0.0,0.0148971435,8.3414976e-05
702284,4371211,5.267908,True,14040,0.42675757,4.813573,0.0,0.0,0.027447788,0.00012972743
702287,4371211,4.4688945,True,11719,0.3841949,4.070379,0.0,0.0,0.01419251,0.00012839888
702314,4371211,4.8542595,True,13706,0.5101119,4.3246827,0.0,0.0,0.019357797,0.000107059815
702321,4371211,5.6599007,True,14172,0.32475987,5.312575,0.0,0.0,0.022407329,0.00015894999
702330,4371211,5.208198,True,14015,0.42887154,4.7569485,0.0,0.0,0.022257686,0.00012035964
702350,4371211,5.171595,True,13426,0.39599705,4.7534094,0.0,0.0,0.022073163,0.000115334115
702353,4371211,5.0543966,True,12888,0.31507498,4.6962795,0.0,0.0,0.042883616,0.00015846691
702356,4371211,5.4108734,True,13792,0.36764893,5.0264196,0.0,0.0,0.016640887,0.0001637101
702362,4371211,5.2521753,True,14092,0.47098166,4.771105,0.0,0.0,0.010007189,8.176892e-05
702373,4371211,5.459608,True,13664,0.32496458,5.1204567,0.0,0.0,0.014099454,8.764281e-05
702383,4371211,5.463422,True,14045,0.36531484,5.0769773,0.0,0.0,0.02101371,0.00011604623
702394,4371211,5.582533,True,14033,0.35499287,5.1998315,0.0,0.0,0.027604166,0.00010417447
702396,4371211,5.1462836,True,13844,0.4451017,4.6856627,0.0,0.0,0.015367041,0.00015233518
702403,4371211,5.0888386,True,13779,0.428141,4.6179156,0.0,0.0,0.042669892,0.00011202731
