S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
1.506034339,3.938846967,157.2375538,0,10.7396755,10.7396755,0.547807298,4.92562625,231,0.881021184,0.860000014,0.0262,172.1267299,204.9132385,238922
2.663729761,7.244986443,145.0496399,2,11.13893,11.13893,1.046743208,13.84487276,121,2.039627636,0.52950716,0.08532,170.5901289,199.0494689,239109
1.134048319,1.550158803,33.94601483,3,8.304655,8.304655,0.516089859,1.756618425,687,1.05209556,0.875337362,0.00488,45.07790824,51.07038058,240202
2.213954171,3.914873809,119.8279251,2.5,10.146114,10.146114,0.460170611,8.619627455,443,0.624526273,0.900368452,0.03376,59.79375238,103.7046703,240227
2.735097505,5.229823313,209.3847892,2,11.370809,11.370809,0.959713089,22.7058219,393,2.206816848,0.596679986,0.07848,127.4098223,195.3311491,251887
1.252043196,2.296328795,49.70332966,3,9.4833145,9.4833145,1.094774817,5.928674322,299,1.145255697,0.491518438,0.02083,57.18004175,67.11756599,273296
1.216804794,2.752989645,115.6307229,2,10.519971,10.519971,1.300425169,8.548893584,224,1.096670834,0.329367787,0.02879,92.16256166,123.2037735,278390
1.032740803,2.294120388,49.16991995,3,10.242083,10.242083,0.92773591,8.387671521,185,1.005371808,0.62063992,0.04322,66.17369958,74.75158212,278548
2.057888607,2.480159421,50.89075509,3,9.868388,9.868388,1.094124305,5.56987565,74,1.762436923,0.492035896,0.04115,57.67906464,67.98388761,278760
1.872381596,4.932749699,136.2866804,0.5,10.331046,10.331046,0.863385017,3.079441888,152,1.881251805,0.667409778,0.01768,152.3985536,180.3118098,279905
1.726959367,3.164034823,81.4592975,3,9.922582,9.922582,0.451864436,9.221993505,711,1.011585445,0.903863192,0.02045,62.10467799,84.70418881,288364
2.281249933,5.94997807,147.0098443,2,11.176006,11.176006,1.242877599,14.01989416,104,1.97120718,0.373606741,0.07812,172.6008431,201.4869678,288851
1.248140547,2.157470674,61.54940815,2.5,9.838366,9.838366,0.928597791,4.271810945,204,0.834228216,0.620000005,0.02033,47.77910619,64.62977495,288904
0.647304622,1.790658014,58.41180773,2,10.389651,10.389651,0.775979211,6.890131584,490,0.500328429,0.7273525,0.01934,98.84140482,107.124194,288992
1.528238648,4.813228968,127.3302105,1,10.638593,10.638593,0.845825614,3.18686577,147,1.38478412,0.679802001,0.01642,191.2749117,211.406204,289089
1.418048392,3.49621945,179.276453,0.5,11.188527,11.188527,0.886386277,9.8991047,658,1.034614951,0.650929511,0.02343,221.0178043,254.7918623,289096
1.32747837,3.582983108,114.365212,1.5,10.722371,10.722371,0.990704162,6.042071696,277,1.035310914,0.573060334,0.01876,146.1918766,167.0681467,289097
2.245957797,3.91761739,112.9853217,2.5,10.430287,10.430287,0.74915233,9.966126019,200,1.38046324,0.74482584,0.05498,80.41561812,113.3556929,297633
2.463818371,2.816821166,60.32639756,3,9.571506,9.571506,1.146778973,7.218995866,164,2.563332255,0.449999988,0.03317,62.24387046,75.45817737,298612
1.072931279,2.454641931,72.96171912,2.5,10.165906,10.165906,1.200929307,7.420793765,217,0.71386521,0.406754255,0.028,70.27177013,87.17699184,298666
2.037706961,3.695149802,79.36847366,3,10.027334,10.027334,0.862348343,7.60067329,128,1.62692373,0.668146014,0.04941,78.28171516,96.32084008,298738
0.981860644,3.519055659,71.04410736,1.5,10.7086935,10.7086935,0.981648457,4.795856722,58,0.931711974,0.579999983,0.04216,174.1367215,181.2380489,301191
2.635428324,4.273104074,160.9150871,3,10.595951,10.595951,0.928141458,16.37979902,388,1.806794253,0.620338857,0.05693,75.06376602,136.3136149,301885
2.208647533,4.308129388,120.6577628,1.5,11.21621,11.21621,1.029923647,15.39274233,159,2.251589881,0.542680025,0.08218,190.7110552,208.9254758,319299
1.302130754,1.908583666,45.38194193,0.5,10.701269,10.701269,0.53055597,7.129572677,117,1.242665644,0.868442774,0.05414,125.6284371,129.6621168,319395
3.917500027,6.343895351,314.1521237,2,10.951705,10.951705,0.464840897,17.39469171,528,1.502316227,0.898377836,0.06288,109.15877,247.5104351,323504
1.336918625,2.490190474,131.4179226,2.5,10.482363,10.482363,0.623517871,10.15083762,393,0.835429718,0.820185542,0.04093,81.9689101,123.9122166,323855
2.301686219,5.500346389,128.9853994,2,10.994728,10.994728,0.672972925,7.697721184,127,2.051211683,0.791846633,0.05535,156.7524222,181.3558339,325007
2.224218491,3.781762835,76.15936094,2.5,10.118468,10.118468,1.046115731,8.657576713,117,2.066642498,0.529999971,0.05257,79.89926634,96.35360342,325533
