,S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
67,2.128671352,5.191264637,126.2742768,2.0,10.80896,10.80896,0.8509503429999999,9.889831745,192,1.800879584,0.676202655,0.05312000000000001,134.9032608,161.7760374,215579
69,1.004955426,2.647709514,100.30275520000001,2.0,11.065605999999999,11.065605999999999,1.3183665070000001,9.270989195,360,1.025090354,0.316043764,0.02085,146.7583918,162.9979967,220326
74,1.7103348930000002,2.0464222469999998,41.01909193,2.5,9.508476,9.508476,1.170696073,5.15143236,139,1.753343422,0.43087101,0.02478,63.3355757,69.66116638,227351
75,1.764090691,2.046620223,55.80615044,2.0,11.00698,11.00698,0.47736594,15.4096076,709,1.8372409180000002,0.892948627,0.03882,145.0468345,150.31881930000003,228105
76,1.237115347,2.8154835780000003,69.25733353,2.0,10.701111000000001,10.701111000000001,0.7563123829999999,4.373490596,120,1.271333679,0.740207136,0.030060000000000003,178.0028276,184.61661830000003,228564
77,1.126828337,2.079884179,92.16843664,2.0,10.151083,10.151083,0.49642297799999996,7.328215449,531,0.66470741,0.8844365479999999,0.02611,62.89999312,90.57549056,228570
78,2.9801903789999997,6.358718662,166.9327115,2.0,10.612229,10.612229,0.795309417,6.278232882,153,1.5026723659999999,0.714482903,0.03803,108.85257469999999,160.56820390000001,229163
79,1.5924667419999998,3.218509198,71.65651828,2.0,10.418961999999999,10.418961999999999,1.110330942,4.091599856,94,1.6722517369999998,0.479126185,0.01731,120.28118119999999,130.51777990000002,230634
80,1.133439093,2.176515708,74.70728581,2.5,10.145643,10.145643,1.262645657,8.682546773,321,1.0784490629999999,0.35820311299999996,0.02436,68.46143701,86.47287224,230714
81,3.847426852,7.954262329,186.7626413,2.0,10.769747,10.769747,0.7000563879999999,10.3929666,232,1.409194489,0.7755842209999999,0.054110000000000005,129.32980049999998,184.8413898,238358
84,2.663729761,7.244986442999999,145.0496399,2.0,11.13893,11.13893,1.0467432079999999,13.84487276,121,2.039627636,0.52950716,0.08532000000000001,170.59012890000002,199.0494689,239109
